捞抚,惫绢,康绢,荐切,苞切
切积1,98,,88,64
切积2,88,90,62,72
切积3,92,70,,
切积4,63,60,31,70
切积5,100,50,,88
切积6,56,49,90,44
切积7,34,28,16,0
切积8,37,13,9,41
切积9,14,17,21,77
切积10,37,20,3,77
切积11,19,97,28,77
切积12,57,85,33,84
切积13,10,21,67,54
切积14,79,74,14,59
切积15,96,67,66,48
切积16,46,25,54,56
切积17,66,32,77,24
切积18,46,25,2,12
切积19,26,10,49,74
切积20,97,68,65,33
切积21,86,70,99,45
切积22,31,62,37,82
切积23,43,88,11,56
切积24,6,98,96,74
切积25,41,75,8,22
切积26,29,45,94,70
切积27,83,84,32,91
切积28,91,1,53,32
切积29,89,59,10,29
切积30,84,58,70,25
切积31,96,95,10,4
切积32,83,7,64,9
切积33,67,38,63,26
切积34,50,72,14,86
切积35,60,28,49,59
切积36,71,11,49,62
切积37,32,63,31,96
切积38,72,6,73,22
切积39,29,93,2,85
切积40,,56,64,24
切积41,98,,88,64
切积42,88,90,62,72
切积43,92,70,,
切积44,63,60,31,70
切积45,21,50,,88
切积46,98,,88,64
切积47,88,90,62,72
切积48,92,70,,
切积49,63,60,31,70
切积50,54,50,,88
切积51,64,3,73,83
切积52,78,58,20,47
切积53,13,82,57,1
切积54,4,11,81,76
切积55,3,25,26,67
切积56,96,78,1,6
切积57,78,31,70,91
切积58,4,63,59,23
切积59,29,67,49,28
切积60,93,56,63,55
切积61,57,65,12,47
切积62,20,74,56,17
切积63,6,61,0,20
切积64,3,11,83,45
切积65,4,82,88,69
切积66,62,5,92,67
切积67,4,12,73,73
切积68,84,58,70,25
切积69,96,95,10,4
切积70,83,7,64,9
切积71,67,38,63,26
切积72,50,72,14,86
切积73,60,28,49,59
切积74,71,11,49,62
切积75,32,63,31,96
切积76,72,6,73,22
切积77,29,93,2,85
切积78,,56,64,24
切积79,98,,88,64
切积80,88,90,62,72
切积81,92,70,,
切积82,63,60,31,70
切积83,21,50,,88
切积84,98,,88,64
切积85,88,90,62,72
切积86,92,70,,
切积87,63,60,31,70
切积88,54,50,,88
切积89,64,3,73,83
切积90,83,91,32,99
切积91,5,55,11,65
切积92,7,40,10,3
切积93,55,46,74,35
切积94,97,70,20,27
切积95,92,61,42,88
切积96,16,10,41,55
切积97,47,33,64,65
切积98,14,40,90,41
切积99,3,74,48,49
切积100,52,64,68,85
切积101,26,87,93,36
切积102,30,51,30,62
切积103,72,44,80,13
切积104,35,49,30,41
切积105,52,60,1,14
切积106,12,65,86,76
切积107,79,21,11,41
切积108,13,33,72,92
切积109,57,68,33,33
切积110,48,44,37,83
切积111,66,88,81,66
切积112,44,15,44,46
切积113,99,2,96,90
切积114,57,4,12,85
切积115,4,77,57,83
切积116,74,23,52,64
切积117,84,58,70,25
切积118,96,95,10,4
切积119,83,7,64,9
切积120,67,38,63,26
切积121,50,72,14,86
切积122,60,28,49,59
切积123,71,11,49,62
切积124,32,63,31,96
切积125,72,6,73,22
切积126,29,93,2,85
切积127,,56,64,24
切积128,98,,88,64
切积129,88,90,62,72
切积130,92,70,55,
切积131,63,60,55,70
切积132,21,50,55,88
切积133,98,,88,64
切积134,88,90,62,72
切积135,92,70,75,85
切积136,63,60,31,70
切积137,54,50,23,88
切积138,64,54,73,83
切积139,89,36,63,14
切积140,83,26,81,98
切积141,18,51,17,6
切积142,63,60,55,70
切积143,21,50,55,88
切积144,98,,88,64
切积145,88,90,62,72
切积146,92,70,75,85
切积147,63,60,31,70
切积148,54,50,23,88
切积149,64,54,73,83
切积150,89,36,63,14
切积151,83,26,81,98
切积152,18,51,17,6
切积153,33,95,77,95
切积154,86,34,31,18
切积155,61,31,97,69
切积156,79,87,93,86
切积157,68,75,10,58
切积158,36,59,90,54
切积159,55,25,13,30
切积160,63,60,55,70
切积161,21,50,55,88
切积162,98,,88,64
切积163,88,90,62,72
切积164,92,70,75,85
切积165,63,60,31,70
切积166,54,50,23,88
切积167,64,54,73,83
切积168,89,36,63,14
切积169,83,26,81,98
切积170,18,51,17,6
切积171,73,89,73,78
切积172,45,11,99,81
切积173,88,10,87,7
切积174,10,67,56,93
